0.288462;0.127451;0.162651;0.269172;0.0979228;0.135889;0.317865;0.250434;0.527273;0.162791;0.112903;5;
0.432692;0.215686;0.216867;0.144172;0.0979228;0.108014;0.37123;0.213804;0.463636;0.337209;0.209677;6;
0.173077;0.401961;0.0783133;0.059816;0.0890208;0.0522648;0.24826;0.0692115;0.636364;0.790698;0.919355;7;
0.288462;0.186275;0.13253;0.263804;0.074184;0.0487805;0.24826;0.227299;0.318182;0.360465;0.193548;5;
0.317308;0.205882;0.204819;0.110429;0.0801187;0.163763;0.276102;0.132254;0.445455;0.209302;0.435484;6;
0.211538;0.137255;0.168675;0.00766871;0.074184;0.156794;0.187935;0.0291112;0.454545;0.186047;0.741935;6;
0.182692;0.137255;0.150602;0.00766871;0.121662;0.33101;0.385151;0.0748024;0.654545;0.465116;0.5;6;
0.230769;0.166667;0.325301;0.0981595;0.109792;0.195122;0.387471;0.143243;0.427273;0.55814;0.387097;5;
0.269231;0.166667;0.150602;0.0107362;0.0919881;0.0905923;0.176334;0.0526316;0.136364;0.302326;0.516129;6;
0.596154;0.117647;0.23494;0.0122699;0.121662;0.0592334;0.331787;0.132832;0.254545;0.232558;0.387097;6;
0.25;0.0882353;0.162651;0.0935583;0.0801187;0.299652;0.49652;0.148255;0.509091;0.151163;0.354839;6;
0.259615;0.323529;0.13253;0.0644172;0.127596;0.163763;0.308585;0.144399;0.381818;0.465116;0.193548;5;
0.288462;0.137255;0.186747;0.0122699;0.130564;0.111498;0.243619;0.111625;0.609091;0.639535;0.419355;6;
0.211538;0.107843;0.174699;0.00920245;0.109792;0.0940767;0.192575;0.0620783;0.454545;0.360465;0.532258;6;
0.288462;0.107843;0.240964;0.141871;0.136499;0.135889;0.218097;0.15828;0.236364;0.395349;0.403226;6;
0.317308;0.147059;0.144578;0.0736196;0.0890208;0.202091;0.433875;0.148255;0.427273;0.651163;0.322581;4;
0.336538;0.186275;0.222892;0.139571;0.0979228;0.118467;0.280742;0.20802;0.690909;0.616279;0.306452;6;
0.278846;0.294118;0.156627;0.13727;0.0801187;0.114983;0.190255;0.0923463;0.236364;0.174419;0.709677;6;
0.259615;0.166667;0.120482;0.0122699;0.0445104;0.0940767;0.213457;0.0865626;0.472727;0.372093;0.451613;6;
0.278846;0.156863;0.23494;0.0352761;0.486647;0.212544;0.343387;0.127048;0.345455;0.139535;0.225806;6;
